| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 61527049 || 5994473 || 3920 (25957) || 0 (472) || 32 (2768) || 656(669) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 64338379 || 5997566 || 3920 (25957) || 0 (472) || 32 (2768) || 656(669) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 61522076 || 6001313 || 3920 (25957) || 0 (472) || 32 (2768) || 656(669) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 61545150 || 5996396 || 3920 (25957) || 0 (472) || 32 (2768) || 656(669) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 71775124 || 5995373 || 3920 (25957) || 0 (472) || 32 (2776) || 656(669) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 32208739 || 3068471 || 2308 (19192) || 0 (472) || 32 (2768) || 652(652) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 32433592 || 3078731 || 2308 (19192) || 0 (472) || 32 (2768) || 652(652) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 32213205 || 3078686 || 2308 (19192) || 0 (472) || 32 (2768) || 652(652) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 32222520 || 3079575 || 2308 (19192) || 0 (472) || 32 (2768) || 652(652) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 32213329 || 3078585 || 2308 (19192) || 0 (472) || 32 (2776) || 652(652) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 31473034 || 2999464 || 2264 (18944) || 0 (472) || 32 (2768) || 640(640) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 31410247 || 3002119 || 2264 (18944) || 0 (472) || 32 (2768) || 640(640) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 31409078 || 3002220 || 2264 (18944) || 0 (472) || 32 (2768) || 640(640) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 31410158 || 3003188 || 2264 (18944) || 0 (472) || 32 (2768) || 640(640) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 34124254 || 3001230 || 2264 (18944) || 0 (472) || 32 (2776) || 640(640) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 29369903 || 2791103 || 3332 (23352) || 0 (472) || 32 (2768) || 616(616) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 29363535 || 2786693 || 3332 (23352) || 0 (472) || 32 (2768) || 616(616) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 29296890 || 2788729 || 3332 (23352) || 0 (472) || 32 (2768) || 616(616) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 29295135 || 2785410 || 3332 (23352) || 0 (472) || 32 (2768) || 616(616) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 32161984 || 2788144 || 3332 (23352) || 0 (472) || 32 (2776) || 616(616) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 34310869 || 3287565 || 2196 (18737) || 0 (472) || 32 (2768) || 640(640) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 34243628 || 3287599 || 2196 (18737) || 0 (472) || 32 (2768) || 640(640) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 34248881 || 3288319 || 2196 (18737) || 0 (472) || 32 (2768) || 640(640) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 34253651 || 3288870 || 2196 (18737) || 0 (472) || 32 (2768) || 640(640) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 36387214 || 3288364 || 2196 (18737) || 0 (472) || 32 (2776) || 640(640) || Checksum OK || [wiki:runs_27 Run 27]
