| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011ciphers_0hash <-] 0hash [wiki:r2011platformsciphers_atmega1281_16mhz_0hash ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_0hash_empty empty] || 72 || 0 || 0 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_luffa256 <-] luffa256 [wiki:r2011platformsciphers_atmega1281_16mhz_luffa256 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_luffa256_avr avr] || 1166397 || 896 || 150 || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash1632 <-] cubehash1632 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash1632 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_bitsliced bitsliced] || 8170525 || 2282 || 226 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_luffa512 <-] luffa512 [wiki:r2011platformsciphers_atmega1281_16mhz_luffa512 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_luffa512_avr avr] || 2327277 || 1140 || 246 || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_blake32 <-] blake32 [wiki:r2011platformsciphers_atmega1281_16mhz_blake32 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_blake32_avrcryptolib avrcryptolib] || 1797394 || 3586 || 269 || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_shabal256 <-] shabal256 [wiki:r2011platformsciphers_atmega1281_16mhz_shabal256 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_shabal256_tiny_avr8-fast tiny_avr8-fast] || 312058 || 980 || 270 || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_shabal512 <-] shabal512 [wiki:r2011platformsciphers_atmega1281_16mhz_shabal512 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_shabal512_tiny_avr8-fast tiny_avr8-fast] || 312283 || 980 || 302 || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash161 <-] cubehash161 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash161 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash161_simple simple] || 358056565 || 2958 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash1616 <-] cubehash1616 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash1616 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1616_simple simple] || 28342883 || 2950 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash162 <-] cubehash162 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash162 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash162_simple simple] || 182180139 || 2958 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash164 <-] cubehash164 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash164 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash164_simple simple] || 94306721 || 2958 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash168 <-] cubehash168 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash168 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash168_simple simple] || 50329836 || 2958 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash81 <-] cubehash81 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash81 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash81_simple simple] || 179836913 || 2958 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash816 <-] cubehash816 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash816 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash816_simple simple] || 14950704 || 2958 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash82 <-] cubehash82 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash82 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash82_simple simple] || 91869231 || 2958 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash832 <-] cubehash832 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash832 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash832_simple simple] || 9453857 || 2960 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash84 <-] cubehash84 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash84 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash84_simple simple] || 47950362 || 2958 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_cubehash88 <-] cubehash88 [wiki:r2011platformsciphers_atmega1281_16mhz_cubehash88 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash88_simple simple] || 25949841 || 2950 || 310 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_bmw256 <-] bmw256 [wiki:r2011platformsciphers_atmega1281_16mhz_bmw256 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_bmw256_avrcryptolib_tinyasm avrcryptolib_tinyasm] || 1370022 || 1926 || 333 || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_luffa384 <-] luffa384 [wiki:r2011platformsciphers_atmega1281_16mhz_luffa384 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_luffa384_avr avr] || 1719765 || 5348 || 454 || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011ciphers_blake64 <-] blake64 [wiki:r2011platformsciphers_atmega1281_16mhz_blake64 ->] || [wiki:r2011platformsimplementations_atmega1281_16mhz_blake64_avrcryptolib avrcryptolib] || 6752359 || 6472 || 527 || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
