| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || 72 || 9 || 1 || 0 || 0 || 0 || 0 || 0.0 || [wiki:r2012measureDetailsPage_302_0hash_empty Details]
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_blake256_avr-asm-speed avr-asm-speed] || 31433 || 3938 || 950 || 513 || 482 || 466 || 451 || 0.0 || [wiki:r2012measureDetailsPage_302_blake256_avr-asm-speed Details]
|[wiki:r2012ciphers_blake512 blake512] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_blake512_armcryptolib armcryptolib] || 562969 || 70395 || 8806 || 5403 || 4853 || 4578 || 4304 || 0.0 || [wiki:r2012measureDetailsPage_302_blake512_armcryptolib Details]
|[wiki:r2012ciphers_groestl256 groestl256] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_8bit_c 8bit_c] || 70386 || 8816 || 1843 || 877 || 808 || 774 || 739 || 0.1 || [wiki:r2012measureDetailsPage_302_groestl256_8bit_c Details]
|[wiki:r2012ciphers_groestl512 groestl512] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl512_sphlib-small sphlib-small] || 689884 || 86230 || 10773 || 4924 || 4249 || 3911 || 3573 || 0.0 || [wiki:r2012measureDetailsPage_302_groestl512_sphlib-small Details]
|[wiki:r2012ciphers_jh256 jh256] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_jh256_sphlib-small sphlib-small] || 204680 || 49971 || 6265 || 3446 || 3244 || 3144 || 3043 || 0.0 || [wiki:r2012measureDetailsPage_302_jh256_sphlib-small Details]
|[wiki:r2012ciphers_jh512 jh512] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_jh512_sphlib-small sphlib-small] || 204936 || 50003 || 6269 || 3446 || 3245 || 3144 || 3043 || 0.0 || [wiki:r2012measureDetailsPage_302_jh512_sphlib-small Details]
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc1024_avr8asm avr8asm] || 143279 || 17917 || 2246 || 2225 || 2085 || 2015 || 1945 || 0.0 || [wiki:r2012measureDetailsPage_302_keccakc1024_avr8asm Details]
|[wiki:r2012ciphers_keccakc512 keccakc512] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_avr8asm avr8asm] || 143055 || 17889 || 2242 || 1117 || 1116 || 1115 || 1115 || 0.0 || [wiki:r2012measureDetailsPage_302_keccakc512_avr8asm Details]
|[wiki:r2012ciphers_round3jh256 round3jh256] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_round3jh256_sphlib-small sphlib-small] || 204680 || 49971 || 6265 || 3446 || 3244 || 3144 || 3043 || 0.0 || [wiki:r2012measureDetailsPage_302_round3jh256_sphlib-small Details]
|[wiki:r2012ciphers_round3jh512 round3jh512] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_round3jh512_sphlib-small sphlib-small] || 204936 || 50003 || 6269 || 3446 || 3245 || 3144 || 3043 || 0.0 || [wiki:r2012measureDetailsPage_302_round3jh512_sphlib-small Details]
|[wiki:r2012ciphers_sha1 sha1] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_sha1_avrcryptolib avrcryptolib] || 76912 || 9622 || 2374 || 1322 || 1247 || 1210 || 1172 || 0.0 || [wiki:r2012measureDetailsPage_302_sha1_avrcryptolib Details]
|[wiki:r2012ciphers_sha256 sha256] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_sha256_sphlib-small sphlib-small] || 169182 || 21179 || 5221 || 2908 || 2743 || 2660 || 2578 || 0.0 || [wiki:r2012measureDetailsPage_302_sha256_sphlib-small Details]
|[wiki:r2012ciphers_sha512 sha512] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_sha512_sphlib-small sphlib-small] || 1055835 || 132014 || 16503 || 10104 || 9072 || 8557 || 8041 || 0.0 || [wiki:r2012measureDetailsPage_302_sha512_sphlib-small Details]
|[wiki:r2012ciphers_skein256256 skein256256] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_skein256256_fhreefish-1_3_0 fhreefish-1_3_0] || 19384 || 2438 || 457 || 322 || 312 || 307 || 303 || 0.0 || [wiki:r2012measureDetailsPage_302_skein256256_fhreefish-1_3_0 Details]
|[wiki:r2012ciphers_skein512256 skein512256] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_skein512256_sphlib-small sphlib-small] || 892843 || 111607 || 13952 || 7758 || 7314 || 7092 || 6870 || 0.0 || [wiki:r2012measureDetailsPage_302_skein512256_sphlib-small Details]
|[wiki:r2012ciphers_skein512512 skein512512] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_skein512512_avrcryptolib_asm avrcryptolib_asm] || 279965 || 35009 || 4387 || 1812 || 1628 || 1536 || 1444 || 0.0 || [wiki:r2012measureDetailsPage_302_skein512512_avrcryptolib_asm Details]
