| '''Hash''' || '''Number of Implementations''' 
|[wiki:r2012ciphers_0hash 0hash] || 1
|[wiki:r2012ciphers_bblake256 bblake256] || 2
|[wiki:r2012ciphers_blake256 blake256] || 14
|[wiki:r2012ciphers_blake32 blake32] || 2
|[wiki:r2012ciphers_blake512 blake512] || 8
|[wiki:r2012ciphers_groestl256 groestl256] || 23
|[wiki:r2012ciphers_groestl512 groestl512] || 8
|[wiki:r2012ciphers_jh256 jh256] || 19
|[wiki:r2012ciphers_jh512 jh512] || 15
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || 27
|[wiki:r2012ciphers_keccakc512 keccakc512] || 29
|[wiki:r2012ciphers_mgrostl256 mgrostl256] || 1
|[wiki:r2012ciphers_round3jh256 round3jh256] || 4
|[wiki:r2012ciphers_round3jh512 round3jh512] || 3
|[wiki:r2012ciphers_sha1 sha1] || 3
|[wiki:r2012ciphers_sha256 sha256] || 5
|[wiki:r2012ciphers_sha512 sha512] || 2
|[wiki:r2012ciphers_skein256 skein256] || 2
|[wiki:r2012ciphers_skein256256 skein256256] || 8
|[wiki:r2012ciphers_skein512256 skein512256] || 11
|[wiki:r2012ciphers_skein512512 skein512512] || 11
