| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || 1001 || 127 || 16 || 2 || 1 || 1 || 0 || [wiki:measureDetailsPage_27_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_sphlib sphlib] || 19586 || 2481 || 358 || 87 || 67 || 57 || 47 || [wiki:measureDetailsPage_27_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_artila_m501_blake64_sphlib-small sphlib-small] || 33525 || 4219 || 525 || 185 || 152 || 136 || 120 || [wiki:measureDetailsPage_27_blake64_sphlib-small Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_artila_m501_bmw256_optc04 optc04] || 20093 || 2534 || 346 || 65 || 45 || 35 || 25 || [wiki:measureDetailsPage_27_bmw256_optc04 Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_artila_m501_bmw512_sphlib-small sphlib-small] || 35370 || 4482 || 555 || 151 || 117 || 99 || 81 || [wiki:measureDetailsPage_27_bmw512_sphlib-small Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_artila_m501_cubehash161_unrolled unrolled] || 157714 || 27129 || 9872 || 7742 || 7583 || 7499 || 7414 || [wiki:measureDetailsPage_27_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_artila_m501_cubehash1616_unrolled unrolled] || 161404 || 20221 || 3025 || 816 || 658 || 585 || 511 || [wiki:measureDetailsPage_27_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_artila_m501_cubehash162_unrolled unrolled] || 157781 || 23449 || 6189 || 4053 || 3892 || 3809 || 3726 || [wiki:measureDetailsPage_27_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_artila_m501_cubehash1632_arm arm] || 35888 || 4506 || 653 || 163 || 128 || 110 || 93 || [wiki:measureDetailsPage_27_cubehash1632_arm Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_artila_m501_cubehash164_unrolled unrolled] || 157736 || 21623 || 4344 || 2211 || 2045 || 1964 || 1882 || [wiki:measureDetailsPage_27_cubehash164_unrolled Details]
