| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_0hash <-] 0hash [wiki:platformsciphers_artila_m501_0hash ->] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || 990 || 1125 || 145 || 18 || 2 || 1 || 1 || 0 || 16.0 || 0 || 0 || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:runs_15 Run 15]
|[wiki:ciphers_bmw256 <-] bmw256 [wiki:platformsciphers_artila_m501_bmw256 ->] || [wiki:platformsimplementations_artila_m501_bmw256_optc04 optc04] || 59220 || 20453 || 2569 || 347 || 66 || 45 || 35 || 25 || 0.9 || 11124 || 752 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_13 Run 13]
|[wiki:ciphers_shabal256 <-] shabal256 [wiki:platformsciphers_artila_m501_shabal256 ->] || [wiki:platformsimplementations_artila_m501_shabal256_sphlib sphlib] || 69716 || 21668 || 2704 || 517 || 86 || 56 || 40 || 25 || 1.2 || 17288 || 668 || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:runs_15 Run 15]
|[wiki:ciphers_shabal512 <-] shabal512 [wiki:platformsciphers_artila_m501_shabal512 ->] || [wiki:platformsimplementations_artila_m501_shabal512_sphlib sphlib] || 69896 || 21825 || 2728 || 523 || 87 || 56 || 41 || 25 || 2.9 || 17288 || 700 || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_blake32 <-] blake32 [wiki:platformsciphers_artila_m501_blake32 ->] || [wiki:platformsimplementations_artila_m501_blake32_sphlib sphlib] || 92475 || 19811 || 2502 || 358 || 86 || 67 || 57 || 47 || 1.5 || 22072 || 652 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_15 Run 15]
|[wiki:ciphers_nasha256 <-] nasha256 [wiki:platformsciphers_artila_m501_nasha256 ->] || [wiki:platformsimplementations_artila_m501_nasha256_opt_v4 opt_v4] || 112163 || 26044 || 3227 || 462 || 108 || 82 || 69 || 56 || 1.6 || 45780 || 131956 || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_nasha512 <-] nasha512 [wiki:platformsciphers_artila_m501_nasha512 ->] || [wiki:platformsimplementations_artila_m501_nasha512_opt opt] || 137194 || 22691 || 2856 || 357 || 119 || 97 || 86 || 74 || 6.9 || 11664 || 1408 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_luffa256 <-] luffa256 [wiki:platformsciphers_artila_m501_luffa256 ->] || [wiki:platformsimplementations_artila_m501_luffa256_sphlib sphlib] || 151785 || 15615 || 1952 || 385 || 123 || 105 || 96 || 86 || 1.5 || 28268 || 364 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_bmw512 <-] bmw512 [wiki:platformsciphers_artila_m501_bmw512 ->] || [wiki:platformsimplementations_artila_m501_bmw512_sphlib-small sphlib-small] || 160718 || 35314 || 4433 || 555 || 151 || 116 || 99 || 81 || 1.7 || 15612 || 1388 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_14 Run 14]
|[wiki:ciphers_fugue256 <-] fugue256 [wiki:platformsciphers_artila_m501_fugue256 ->] || [wiki:platformsimplementations_artila_m501_fugue256_sphlib sphlib] || 208024 || 37159 || 5345 || 805 || 194 || 150 || 128 || 107 || 1.6 || 47550 || 1352 || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_mcssha4 <-] mcssha4 [wiki:platformsciphers_artila_m501_mcssha4 ->] || [wiki:platformsimplementations_artila_m501_mcssha4_ref ref] || 208969 || 16931 || 2287 || 395 || 159 || 142 || 133 || 125 || 2.0 || 4744 || 864 || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_mcssha6 <-] mcssha6 [wiki:platformsciphers_artila_m501_mcssha6 ->] || [wiki:platformsimplementations_artila_m501_mcssha6_ref ref] || 210262 || 18236 || 2458 || 417 || 161 || 143 || 134 || 125 || 1.0 || 5768 || 756 || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_mcssha5 <-] mcssha5 [wiki:platformsciphers_artila_m501_mcssha5 ->] || [wiki:platformsimplementations_artila_m501_mcssha5_ref ref] || 216551 || 24638 || 3298 || 520 || 174 || 149 || 137 || 125 || 1.1 || 5576 || 872 || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:runs_13 Run 13]
|[wiki:ciphers_blake64 <-] blake64 [wiki:platformsciphers_artila_m501_blake64 ->] || [wiki:platformsimplementations_artila_m501_blake64_sphlib sphlib] || 216968 || 33683 || 4216 || 529 || 185 || 153 || 136 || 119 || 6.1 || 22072 || 1076 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_skein256 <-] skein256 [wiki:platformsciphers_artila_m501_skein256 ->] || [wiki:platformsimplementations_artila_m501_skein256_sphlib-small sphlib-small] || 231525 || 29160 || 3656 || 798 || 207 || 165 || 144 || 122 || 0.4 || 38100 || 924 || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:runs_15 Run 15]
|[wiki:ciphers_skein512 <-] skein512 [wiki:platformsciphers_artila_m501_skein512 ->] || [wiki:platformsimplementations_artila_m501_skein512_sphlib-small sphlib-small] || 266783 || 29722 || 3713 || 468 || 208 || 182 || 169 || 156 || 0.8 || 35176 || 688 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_14 Run 14]
|[wiki:ciphers_keccak256 <-] keccak256 [wiki:platformsciphers_artila_m501_keccak256 ->] || [wiki:platformsimplementations_artila_m501_keccak256_opt32u6 opt32u6] || 269978 || 47306 || 6091 || 801 || 225 || 189 || 169 || 150 || 1.1 || 55372 || 263140 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_luffa384 <-] luffa384 [wiki:platformsciphers_artila_m501_luffa384 ->] || [wiki:platformsimplementations_artila_m501_luffa384_opt32 opt32] || 276998 || 23895 || 3005 || 543 || 212 || 188 || 177 || 165 || 3.3 || 11216 || 828 || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:runs_14 Run 14]
|[wiki:ciphers_cubehash1632 <-] cubehash1632 [wiki:platformsciphers_artila_m501_cubehash1632 ->] || [wiki:platformsimplementations_artila_m501_cubehash1632_sphlib-small sphlib-small] || 282791 || 57038 || 7145 || 1107 || 264 || 204 || 174 || 144 || 3.7 || 8388 || 808 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_echosp256 <-] echosp256 [wiki:platformsciphers_artila_m501_echosp256 ->] || [wiki:platformsimplementations_artila_m501_echosp256_generic_opt32 generic_opt32] || 282893 || 68108 || 8743 || 1094 || 282 || 209 || 205 || 201 || 16.5 || 23350 || 4856 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:ciphers_keccak1024 <-] keccak1024 [wiki:platformsciphers_artila_m501_keccak1024 ->] || [wiki:platformsimplementations_artila_m501_keccak1024_opt32u6 opt32u6] || 284051 || 47363 || 6141 || 805 || 255 || 204 || 177 || 149 || 10.6 || 55424 || 263228 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_15 Run 15]
|[wiki:ciphers_luffa512 <-] luffa512 [wiki:platformsciphers_artila_m501_luffa512 ->] || [wiki:platformsimplementations_artila_m501_luffa512_sphlib sphlib] || 288383 || 29228 || 3655 || 748 || 236 || 200 || 189 || 178 || 4.2 || 28268 || 544 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_13 Run 13]
|[wiki:ciphers_echo256 <-] echo256 [wiki:platformsciphers_artila_m501_echo256 ->] || [wiki:platformsimplementations_artila_m501_echo256_sphlib sphlib] || 331796 || 63686 || 7996 || 1008 || 258 || 227 || 211 || 196 || 8.2 || 33820 || 1028 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_15 Run 15]
