| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 4298446 || 252200 || 19372 (61522) || 120 (1064) || 0 (2840) || 896(944) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 4292218 || 252293 || 19372 (61522) || 120 (1064) || 0 (2840) || 896(944) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 4308092 || 252002 || 19372 (61522) || 120 (1064) || 0 (2840) || 896(944) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 4294617 || 251922 || 19372 (61522) || 120 (1064) || 0 (2840) || 896(944) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 5556692 || 254599 || 19372 (61602) || 120 (1064) || 0 (2840) || 896(944) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 4682020 || 252267 || 19372 (61602) || 120 (1064) || 0 (2840) || 896(944) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1424097 || 132262 || 14084 (47129) || 120 (1060) || 0 (2840) || 816(872) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1404659 || 131573 || 14084 (47129) || 120 (1060) || 0 (2840) || 816(872) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1403718 || 132023 || 14084 (47129) || 120 (1060) || 0 (2840) || 816(872) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1424176 || 131427 || 14084 (47129) || 120 (1060) || 0 (2840) || 816(872) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1690091 || 407848 || 14100 (47193) || 120 (1060) || 0 (2840) || 816(872) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1506605 || 131255 || 14100 (47193) || 120 (1060) || 0 (2840) || 816(872) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1262937 || 121291 || 13284 (44729) || 120 (1060) || 0 (2840) || 832(888) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1262685 || 120482 || 13284 (44729) || 120 (1060) || 0 (2840) || 832(888) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1262712 || 120933 || 13284 (44729) || 120 (1060) || 0 (2840) || 832(888) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1280361 || 120853 || 13284 (44729) || 120 (1060) || 0 (2840) || 832(888) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1520769 || 122390 || 13284 (44761) || 120 (1060) || 0 (2840) || 832(888) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1316732 || 120257 || 13284 (44761) || 120 (1060) || 0 (2840) || 832(888) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1332301 || 126683 || 15433 (46934) || 120 (1060) || 0 (2836) || 1056(1112) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1351500 || 127385 || 15433 (46934) || 120 (1060) || 0 (2836) || 1056(1112) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1332897 || 127134 || 15433 (46934) || 120 (1060) || 0 (2836) || 1056(1112) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1351752 || 126842 || 15433 (46934) || 120 (1060) || 0 (2836) || 1056(1112) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1930406 || 128353 || 15433 (46966) || 120 (1060) || 0 (2836) || 1056(1112) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1438486 || 126644 || 15433 (46966) || 120 (1060) || 0 (2836) || 1056(1112) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1389753 || 122841 || 12756 (43906) || 120 (1060) || 0 (2840) || 840(896) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1390256 || 122920 || 12756 (43906) || 120 (1060) || 0 (2840) || 840(896) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1371031 || 122576 || 12756 (43906) || 120 (1060) || 0 (2840) || 840(896) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1400167 || 122735 || 12756 (43906) || 120 (1060) || 0 (2840) || 840(896) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1890113 || 124192 || 12756 (43938) || 120 (1060) || 0 (2840) || 840(896) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1452372 || 122616 || 12756 (43938) || 120 (1060) || 0 (2840) || 840(896) || Checksum OK || [wiki:r2011runs_32 Run 32]
