| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100722 || blix || [wiki:r2011compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 77800 (97740) || 880 (1548) || 0 (2415) || unk(unk) || error || [wiki:r2011runs_2 Run 2]
|20100727 || blix || [wiki:r2011compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 77800 (97740) || 880 (1548) || 0 (2415) || unk(unk) || error || [wiki:r2011runs_3 Run 3]
|20100728 || blix || [wiki:r2011compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 77800 (97740) || 880 (1548) || 0 (2415) || unk(unk) || error || [wiki:r2011runs_4 Run 4]
|20101017 || clix || [wiki:r2011compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 77966 (97906) || 880 (1548) || 0 (2415) || unk(unk) || error || [wiki:r2011runs_26 Run 26]
|20100722 || blix || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 22969247 || 842115 || 78042 (87236) || 880 (1292) || 0 (2415) || 1822(1822) || Checksum OK || [wiki:r2011runs_2 Run 2]
|20100727 || blix || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 22969164 || 842113 || 78042 (87236) || 880 (1292) || 0 (2415) || 1822(1822) || Checksum OK || [wiki:r2011runs_3 Run 3]
|20100728 || blix || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 22969137 || 842111 || 78042 (87236) || 880 (1292) || 0 (2415) || 1822(1822) || Checksum OK || [wiki:r2011runs_4 Run 4]
|20101017 || clix || [wiki:r2011compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 23163097 || 862374 || 81612 (90806) || 880 (1292) || 0 (2415) || 1834(1834) || Checksum OK || [wiki:r2011runs_26 Run 26]
|20100722 || blix || [wiki:r2011compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 22654714 || 860013 || 79064 (87374) || 880 (1292) || 0 (2415) || 1792(1792) || Checksum OK || [wiki:r2011runs_2 Run 2]
|20100727 || blix || [wiki:r2011compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 22654634 || 860010 || 79064 (87374) || 880 (1292) || 0 (2415) || 1792(1792) || Checksum OK || [wiki:r2011runs_3 Run 3]
|20100728 || blix || [wiki:r2011compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 22654607 || 860009 || 79064 (87374) || 880 (1292) || 0 (2415) || 1792(1792) || Checksum OK || [wiki:r2011runs_4 Run 4]
|20101017 || clix || [wiki:r2011compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 22885745 || 884306 || 83146 (91456) || 880 (1292) || 0 (2415) || 1796(1796) || Checksum OK || [wiki:r2011runs_26 Run 26]
|20100722 || blix || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 22640390 || 859902 || 79026 (87358) || 880 (1292) || 0 (2415) || 1820(1820) || Checksum OK || [wiki:r2011runs_2 Run 2]
|20100727 || blix || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 22640312 || 859899 || 79026 (87358) || 880 (1292) || 0 (2415) || 1820(1820) || Checksum OK || [wiki:r2011runs_3 Run 3]
|20100728 || blix || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 22640285 || 859898 || 79026 (87358) || 880 (1292) || 0 (2415) || 1820(1820) || Checksum OK || [wiki:r2011runs_4 Run 4]
|20101017 || clix || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 22850268 || 884031 || 82866 (91198) || 880 (1292) || 0 (2415) || 1824(1824) || Checksum OK || [wiki:r2011runs_26 Run 26]
|20100722 || blix || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 22986848 || 866559 || 77212 (84982) || 880 (1292) || 0 (2415) || 1792(1792) || Checksum OK || [wiki:r2011runs_2 Run 2]
|20100727 || blix || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 22986770 || 866557 || 77212 (84982) || 880 (1292) || 0 (2415) || 1792(1792) || Checksum OK || [wiki:r2011runs_3 Run 3]
|20100728 || blix || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 22986742 || 866555 || 77212 (84982) || 880 (1292) || 0 (2415) || 1792(1792) || Checksum OK || [wiki:r2011runs_4 Run 4]
|20101017 || clix || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 23214384 || 890100 || 81282 (89052) || 880 (1292) || 0 (2415) || 1796(1796) || Checksum OK || [wiki:r2011runs_26 Run 26]
