| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || 72 || 9 || 1 || 0 || 0 || 0 || 0 || [wiki:r2011measureDetailsPage_38_0hash_empty Details]
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_sphlib sphlib] || 83238 || 10401 || 2561 || 1406 || 1323 || 1282 || 1241 || [wiki:r2011measureDetailsPage_38_blake256_sphlib Details]
|[wiki:r2011ciphers_blake512 blake512] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake512_armcryptolib armcryptolib] || 562968 || 70395 || 8806 || 5403 || 4853 || 4578 || 4304 || [wiki:r2011measureDetailsPage_38_blake512_armcryptolib Details]
|[wiki:r2011ciphers_groestl256 groestl256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_groestl256_avrcryptolib avrcryptolib] || 1073415 || 134185 || 27971 || 13294 || 12246 || 11722 || 11198 || [wiki:r2011measureDetailsPage_38_groestl256_avrcryptolib Details]
|[wiki:r2011ciphers_groestl512 groestl512] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_groestl512_avrcryptolib avrcryptolib] || 3075719 || 384473 || 48066 || 22059 || 19056 || 17554 || 16052 || [wiki:r2011measureDetailsPage_38_groestl512_avrcryptolib Details]
|[wiki:r2011ciphers_jh256 jh256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_jh256_opt32 opt32] || 250153 || 62079 || 7757 || 4320 || 4075 || 3952 || 3829 || [wiki:r2011measureDetailsPage_38_jh256_opt32 Details]
|[wiki:r2011ciphers_jh512 jh512] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_jh512_opt32 opt32] || 250409 || 62110 || 7761 || 4321 || 4075 || 3952 || 3829 || [wiki:r2011measureDetailsPage_38_jh512_opt32 Details]
|[wiki:r2011ciphers_keccakc1024 keccakc1024] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_keccakc1024_avr8asm avr8asm] || 143278 || 17917 || 2246 || 2225 || 2085 || 2015 || 1945 || [wiki:r2011measureDetailsPage_38_keccakc1024_avr8asm Details]
|[wiki:r2011ciphers_keccakc512 keccakc512] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_keccakc512_avr8asm avr8asm] || 143055 || 17889 || 2242 || 1117 || 1116 || 1115 || 1115 || [wiki:r2011measureDetailsPage_38_keccakc512_avr8asm Details]
|[wiki:r2011ciphers_sha1 sha1] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_sha1_avrcryptolib avrcryptolib] || 76912 || 9622 || 2374 || 1322 || 1247 || 1210 || 1172 || [wiki:r2011measureDetailsPage_38_sha1_avrcryptolib Details]
|[wiki:r2011ciphers_sha256 sha256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_sha256_sphlib-small sphlib-small] || 169181 || 21179 || 5221 || 2908 || 2743 || 2660 || 2578 || [wiki:r2011measureDetailsPage_38_sha256_sphlib-small Details]
|[wiki:r2011ciphers_sha512 sha512] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_sha512_sphlib-small sphlib-small] || 1055832 || 132013 || 16503 || 10103 || 9072 || 8557 || 8041 || [wiki:r2011measureDetailsPage_38_sha512_sphlib-small Details]
|[wiki:r2011ciphers_skein512 skein512] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_skein512_avrcryptolib_asm avrcryptolib_asm] || 279964 || 35009 || 4387 || 1812 || 1628 || 1536 || 1444 || [wiki:r2011measureDetailsPage_38_skein512_avrcryptolib_asm Details]
