| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || 12866 || 1608 || 199 || 25 || 12 || 6 || 0 || [wiki:r2011measureDetailsPage_32_0hash_empty Details]
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || 35179 || 4399 || 603 || 126 || 92 || 81 || 70 || [wiki:r2011measureDetailsPage_32_blake32_sphlib-small Details]
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_ref ref] || 56074 || 7062 || 882 || 227 || 173 || 154 || 135 || [wiki:r2011measureDetailsPage_32_blake64_ref Details]
|[wiki:r2011ciphers_bmw256 bmw256] || [wiki:r2011platformsimplementations_fritzbox-7170_bmw256_optbgbe optbgbe] || 47939 || 6059 || 789 || 130 || 83 || 66 || 48 || [wiki:r2011measureDetailsPage_32_bmw256_optbgbe Details]
|[wiki:r2011ciphers_bmw512 bmw512] || [wiki:r2011platformsimplementations_fritzbox-7170_bmw512_sphlib-small sphlib-small] || 79513 || 10090 || 1261 || 226 || 147 || 128 || 110 || [wiki:r2011measureDetailsPage_32_bmw512_sphlib-small Details]
|[wiki:r2011ciphers_cubehash161 cubehash161] || [wiki:r2011platformsimplementations_fritzbox-7170_cubehash161_unrolled unrolled] || 136184 || 22460 || 7497 || 5654 || 5509 || 5586 || 5663 || [wiki:r2011measureDetailsPage_32_cubehash161_unrolled Details]
|[wiki:r2011ciphers_cubehash1616 cubehash1616] || [wiki:r2011platformsimplementations_fritzbox-7170_cubehash1616_unrolled unrolled] || 135945 || 17114 || 2509 || 643 || 510 || 458 || 407 || [wiki:r2011measureDetailsPage_32_cubehash1616_unrolled Details]
|[wiki:r2011ciphers_cubehash162 cubehash162] || [wiki:r2011platformsimplementations_fritzbox-7170_cubehash162_unrolled unrolled] || 136250 || 19751 || 4836 || 2968 || 2852 || 2853 || 2853 || [wiki:r2011measureDetailsPage_32_cubehash162_unrolled Details]
|[wiki:r2011ciphers_cubehash1632 cubehash1632] || [wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_unrolled5 unrolled5] || 60142 || 7564 || 1055 || 230 || 172 || 150 || 128 || [wiki:r2011measureDetailsPage_32_cubehash1632_unrolled5 Details]
|[wiki:r2011ciphers_cubehash164 cubehash164] || [wiki:r2011platformsimplementations_fritzbox-7170_cubehash164_unrolled unrolled] || 136117 || 18466 || 3506 || 1640 || 1506 || 1490 || 1473 || [wiki:r2011measureDetailsPage_32_cubehash164_unrolled Details]
