| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 45669 || 696
|0 || 45668 || 696
|0 || 45668 || 696
|0 || 45668 || 696
|0 || 45669 || 696
|0 || 45669 || 696
|0 || 45669 || 696
|0 || 45669 || 696
|1 || 89350 || 696
|1 || 89351 || 696
|1 || 89350 || 696
|1 || 89349 || 696
|1 || 89353 || 696
|1 || 89351 || 696
|1 || 89352 || 696
|1 || 89351 || 696
|2 || 89337 || 696
|2 || 89335 || 696
|2 || 89337 || 696
|2 || 89337 || 696
|2 || 89339 || 696
|2 || 89338 || 696
|2 || 89338 || 696
|2 || 89338 || 696
|4 || 88783 || 696
|4 || 88782 || 696
|4 || 88779 || 696
|4 || 88784 || 696
|4 || 88784 || 696
|4 || 88783 || 696
|4 || 88781 || 696
|4 || 88783 || 696
|8 || 88773 || 696
|8 || 88773 || 696
|8 || 88772 || 696
|8 || 88773 || 696
|8 || 88773 || 696
|8 || 88772 || 696
|8 || 88775 || 696
|8 || 88772 || 696
|16 || 88746 || 696
|16 || 88747 || 696
|16 || 88745 || 696
|16 || 88746 || 696
|16 || 88746 || 696
|16 || 88745 || 696
|16 || 88745 || 696
|16 || 88743 || 696
|32 || 88728 || 696
|32 || 88727 || 696
|32 || 88727 || 696
|32 || 88727 || 696
|32 || 88727 || 696
|32 || 88728 || 696
|32 || 88727 || 696
|32 || 88727 || 696
|64 || 88924 || 692
|64 || 88925 || 692
|64 || 88918 || 692
|64 || 88922 || 692
|64 || 88920 || 692
|64 || 88922 || 692
|64 || 88920 || 692
|64 || 88922 || 692
|128 || 131886 || 692
|128 || 131888 || 692
|128 || 131886 || 692
|128 || 131883 || 692
|128 || 131887 || 692
|128 || 131887 || 692
|128 || 131887 || 692
|128 || 131887 || 692
|256 || 217811 || 692
|256 || 217817 || 692
|256 || 217812 || 692
|256 || 217814 || 692
|256 || 217814 || 692
|256 || 217816 || 692
|256 || 217812 || 692
|256 || 217817 || 692
|512 || 389672 || 692
|512 || 389671 || 692
|512 || 389669 || 692
|512 || 389671 || 692
|512 || 389671 || 692
|512 || 389671 || 692
|512 || 389669 || 692
|512 || 389671 || 692
|576 || 432635 || 692
|576 || 432633 || 692
|576 || 432635 || 692
|576 || 432635 || 692
|576 || 432638 || 692
|576 || 432635 || 692
|576 || 432636 || 692
|576 || 432635 || 692
|1024 || 733385 || 692
|1024 || 733386 || 692
|1024 || 733385 || 692
|1024 || 733385 || 692
|1024 || 733387 || 692
|1024 || 733384 || 692
|1024 || 733386 || 692
|1024 || 733385 || 692
|1536 || 1077098 || 692
|1536 || 1077097 || 692
|1536 || 1077098 || 692
|1536 || 1077098 || 692
|1536 || 1077095 || 692
|1536 || 1077097 || 692
|1536 || 1077099 || 692
|1536 || 1077097 || 692
|2048 || 1420813 || 692
|2048 || 1420810 || 692
|2048 || 1420809 || 692
|2048 || 1420811 || 692
|2048 || 1420810 || 692
|2048 || 1420811 || 692
|2048 || 1420813 || 692
|2048 || 1420808 || 692
