| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 64288 || 339
|0 || 64288 || 339
|0 || 64288 || 339
|0 || 64288 || 339
|0 || 64288 || 339
|0 || 64288 || 339
|0 || 64288 || 339
|0 || 64288 || 339
|1 || 64288 || 339
|1 || 64287 || 339
|1 || 64288 || 339
|1 || 64287 || 339
|1 || 64288 || 339
|1 || 64288 || 339
|1 || 64288 || 339
|1 || 64288 || 339
|2 || 64290 || 339
|2 || 64290 || 339
|2 || 64290 || 339
|2 || 64290 || 339
|2 || 64290 || 339
|2 || 64289 || 339
|2 || 64290 || 339
|2 || 64290 || 339
|4 || 64294 || 339
|4 || 64294 || 339
|4 || 64294 || 339
|4 || 64294 || 339
|4 || 64294 || 339
|4 || 64294 || 339
|4 || 64294 || 339
|4 || 64293 || 339
|8 || 64302 || 339
|8 || 64302 || 339
|8 || 64302 || 339
|8 || 64302 || 339
|8 || 64302 || 339
|8 || 64302 || 339
|8 || 64302 || 339
|8 || 64302 || 339
|16 || 64317 || 339
|16 || 64318 || 339
|16 || 64318 || 339
|16 || 64318 || 339
|16 || 64318 || 339
|16 || 64318 || 339
|16 || 64318 || 339
|16 || 64318 || 339
|32 || 64352 || 339
|32 || 64351 || 339
|32 || 64352 || 339
|32 || 64352 || 339
|32 || 64352 || 339
|32 || 64352 || 339
|32 || 64352 || 339
|32 || 64352 || 339
|64 || 95321 || 339
|64 || 95319 || 339
|64 || 95320 || 339
|64 || 95319 || 339
|64 || 95321 || 339
|64 || 95319 || 339
|64 || 95320 || 339
|64 || 95319 || 339
|128 || 126352 || 339
|128 || 126352 || 339
|128 || 126351 || 339
|128 || 126351 || 339
|128 || 126351 || 339
|128 || 126352 || 339
|128 || 126351 || 339
|128 || 126351 || 339
|256 || 188416 || 339
|256 || 188416 || 339
|256 || 188416 || 339
|256 || 188415 || 339
|256 || 188416 || 339
|256 || 188415 || 339
|256 || 188416 || 339
|256 || 188415 || 339
|512 || 312543 || 339
|512 || 312543 || 339
|512 || 312543 || 339
|512 || 312545 || 339
|512 || 312544 || 339
|512 || 312543 || 339
|512 || 312543 || 339
|512 || 312543 || 339
|576 || 343575 || 339
|576 || 343575 || 339
|576 || 343576 || 339
|576 || 343575 || 339
|576 || 343576 || 339
|576 || 343576 || 339
|576 || 343575 || 339
|576 || 343575 || 339
|1024 || 560799 || 339
|1024 || 560799 || 339
|1024 || 560800 || 339
|1024 || 560799 || 339
|1024 || 560799 || 339
|1024 || 560799 || 339
|1024 || 560799 || 339
|1024 || 560799 || 339
|1536 || 809054 || 339
|1536 || 809055 || 339
|1536 || 809055 || 339
|1536 || 809055 || 339
|1536 || 809056 || 339
|1536 || 809056 || 339
|1536 || 809055 || 339
|1536 || 809054 || 339
|2048 || 1057311 || 339
|2048 || 1057310 || 339
|2048 || 1057311 || 339
|2048 || 1057310 || 339
|2048 || 1057312 || 339
|2048 || 1057310 || 339
|2048 || 1057310 || 339
|2048 || 1057311 || 339
