| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 666901 || 429
|0 || 666901 || 429
|0 || 666901 || 429
|0 || 666900 || 429
|0 || 666902 || 429
|0 || 666901 || 429
|0 || 666902 || 429
|0 || 666900 || 429
|1 || 666908 || 429
|1 || 666910 || 429
|1 || 666909 || 429
|1 || 666909 || 429
|1 || 666910 || 429
|1 || 666908 || 429
|1 || 666910 || 429
|1 || 666910 || 429
|2 || 666917 || 429
|2 || 666917 || 429
|2 || 666917 || 429
|2 || 666917 || 429
|2 || 666916 || 429
|2 || 666917 || 429
|2 || 666917 || 429
|2 || 666917 || 429
|4 || 666933 || 429
|4 || 666932 || 429
|4 || 666934 || 429
|4 || 666933 || 429
|4 || 666933 || 429
|4 || 666934 || 429
|4 || 666933 || 429
|4 || 666932 || 429
|8 || 666965 || 429
|8 || 666965 || 429
|8 || 666966 || 429
|8 || 666965 || 429
|8 || 666966 || 429
|8 || 666966 || 429
|8 || 666965 || 429
|8 || 666964 || 429
|16 || 667030 || 429
|16 || 667028 || 429
|16 || 667029 || 429
|16 || 667029 || 429
|16 || 667030 || 429
|16 || 667030 || 429
|16 || 667029 || 429
|16 || 667029 || 429
|32 || 667158 || 429
|32 || 667157 || 429
|32 || 667157 || 429
|32 || 667157 || 429
|32 || 667157 || 429
|32 || 667156 || 429
|32 || 667157 || 429
|32 || 667156 || 429
|64 || 1110719 || 429
|64 || 1110719 || 429
|64 || 1110717 || 429
|64 || 1110719 || 429
|64 || 1110719 || 429
|64 || 1110717 || 429
|64 || 1110718 || 429
|64 || 1110718 || 429
|128 || 1554440 || 429
|128 || 1554440 || 429
|128 || 1554440 || 429
|128 || 1554440 || 429
|128 || 1554441 || 429
|128 || 1554441 || 429
|128 || 1554441 || 429
|128 || 1554440 || 429
|256 || 2441883 || 429
|256 || 2441884 || 429
|256 || 2441884 || 429
|256 || 2441885 || 429
|256 || 2441885 || 429
|256 || 2441885 || 429
|256 || 2441885 || 429
|256 || 2441885 || 429
|512 || 4216772 || 429
|512 || 4216772 || 429
|512 || 4216772 || 429
|512 || 4216772 || 429
|512 || 4216772 || 429
|512 || 4216772 || 429
|512 || 4216772 || 429
|512 || 4216771 || 429
|576 || 4660493 || 429
|576 || 4660495 || 429
|576 || 4660494 || 429
|576 || 4660493 || 429
|576 || 4660495 || 429
|576 || 4660493 || 429
|576 || 4660494 || 429
|576 || 4660494 || 429
|1024 || 7766547 || 429
|1024 || 7766548 || 429
|1024 || 7766548 || 429
|1024 || 7766546 || 429
|1024 || 7766548 || 429
|1024 || 7766546 || 429
|1024 || 7766547 || 429
|1024 || 7766547 || 429
|1536 || 11316322 || 429
|1536 || 11316322 || 429
|1536 || 11316324 || 429
|1536 || 11316324 || 429
|1536 || 11316323 || 429
|1536 || 11316324 || 429
|1536 || 11316323 || 429
|1536 || 11316323 || 429
|2048 || 14866098 || 429
|2048 || 14866099 || 429
|2048 || 14866099 || 429
|2048 || 14866097 || 429
|2048 || 14866098 || 429
|2048 || 14866098 || 429
|2048 || 14866098 || 429
|2048 || 14866097 || 429
