| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_arm arm] || 178380 || 2100 || 280 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_unrolled5 unrolled5] || 202781 || 2400 || 216 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_unrolled4 unrolled4] || 208237 || 2420 || 216 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_unrolled3 unrolled3] || 269629 || 2660 || 216 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_sphlib-small sphlib-small] || 282713 || 8388 || 808 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_sphlib sphlib] || 339536 || 28088 || 396 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_unrolled2 unrolled2] || 387225 || 2780 || 348 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_unrolled unrolled] || 565076 || 2772 || 408 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_hardware2 hardware2] || 697973 || 2136 || 324 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_armcryptolib armcryptolib] || 1326600 || 1224 || 268 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_simple simple] || 2299590 || 1312 || 296 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_13 Run 13]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_bitsliced bitsliced] || 3330045 || 944 || 232 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_spec spec] || 3738296 || 2604 || 652 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_13 Run 13]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_hardware4 hardware4] || 4198691 || 4688 || 760 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_hardware8 hardware8] || 16305446 || 5844 || 1280 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011platformsimplementations_artila_m501_cubehash1632_hardware16 hardware16] || 59921246 || 5232 || 968 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
